,uma_tuple_animal_id,uma_winner,uma_loser,cohort,uma_averaged_winner,uma_averaged_loser,uma_winner_count,uma_loser_count,uma_count_difference,uma_match_count,uma_percent_win,uma_percentage_tie
0,"('1', '2')","['1.1', '2.1', '3.1', '4.2', '5.2', '6.1']","['1.2', '2.2', '3.2', '4.1', '5.1', '6.2']",pilot_1,1.1,1.2,1,0,1,6,0.16666666666666666,True
1,"('1', '3')","['1.1', '2.1', '3.1', '4.3', '5.3', '6.3']","['1.3', '2.3', '3.3', '4.1', '5.1', '6.1']",pilot_1,1.1,1.3,1,0,1,6,0.16666666666666666,True
2,"('1', '4')","['1.4', '2.4', '3.4', '4.4', '5.4', '6.4']","['1.1', '2.1', '3.1', '4.1', '5.1', '6.1']",pilot_1,1.4,1.1,1,0,1,6,0.16666666666666666,True
3,"('2', '3')","['1.2', '2.3', '3.3', '4.3', '5.2', '6.3']","['1.3', '2.2', '3.2', '4.2', '5.3', '6.2']",pilot_1,1.2,1.3,1,0,1,6,0.16666666666666666,True
4,"('2', '4')","['1.2', '2.4', '3.2', '4.4', '5.4', '6.4']","['1.4', '2.2', '3.4', '4.2', '5.2', '6.2']",pilot_1,1.2,1.4,1,0,1,6,0.16666666666666666,True
5,"('3', '4')","['1.4', '2.3', '3.3', '4.4', '5.4', '6.3']","['1.3', '2.4', '3.4', '4.3', '5.3', '6.4']",pilot_1,1.4,1.3,1,0,1,6,0.16666666666666666,True
